tconst	averageRating	numVotes
tt0018320	4.5	21
tt0018346	3.4	45
tt0018375	5.6	96
tt0018392	7.2	466
tt0018410	6.9	132
tt0018443	6.9	22
tt0018465	2.6	192
tt0018486	1.9	16
tt0018509	6.4	609
tt0018526	7.5	3383
tt0018549	5.0	19
tt0018579	4.5	210
tt0018608	1.0	14
tt0018624	4.9	28
tt0018642	5.8	27
tt0018671	5.2	21
tt0018689	6.1	79
tt0018713	6.9	14
tt0018729	7.9	32
tt0018746	4.3	19
tt0018770	7.3	4398
tt0018808	5.0	39
tt0018829	6.3	11
tt0018851	6.6	70
tt0018873	6.8	1417
tt0018892	6.1	38
tt0018920	5.6	95
tt0018958	7.3	9
tt0018972	6.6	545
tt0018996	6.1	194
tt0019022	6.9	23
tt0019050	7.1	57
tt0019067	6.9	532
tt0019096	5.7	908
tt0019130	7.6	7819
tt0019152	6.8	391
tt0019179	5.3	31
tt0019203	3.3	42
tt0019227	6.4	300
tt0019248	6.3	38
tt0019265	6.9	19
tt0019296	6.4	18
tt0019317	5.3	20
tt0019338	6.2	39
tt0019369	6.4	35
tt0019381	7.2	103
tt0019403	7.6	868
tt0019431	7.4	29
tt0019453	5.2	77
tt0019472	3.1	25
tt0019491	7.2	63
tt0019514	7.3	103
tt0019544	6.8	69
tt0019557	6.1	527
tt0019585	8.0	7024
tt0019607	6.6	1233
tt0019623	7.2	27
tt0019646	7.5	1133
tt0019674	4.1	48
tt0019687	5.2	44
tt0019704	6.1	125
tt0019723	7.3	186
tt0019743	5.3	20
tt0019767	5.6	13
tt0019788	5.5	2284
tt0019810	5.5	64
tt0019832	6.9	1295
tt0019850	7.1	633
tt0019877	6.7	26
tt0019892	7.0	20
tt0019918	6.4	50
tt0019935	7.1	795
tt0019954	5.3	27
tt0019972	5.2	73
tt0019991	7.5	14
tt0020005	3.7	34
tt0020018	5.5	1253
tt0020049	5.8	423
tt0020068	6.0	46
tt0020082	6.3	64
tt0020105	6.1	22
tt0020121	7.3	113
tt0020142	6.2	3215
tt0020165	7.4	100
tt0020182	6.9	156
tt0020206	4.4	16
tt0020223	6.7	898
tt0020246	6.1	527
tt0020264	7.1	1708
tt0020291	6.0	34
tt0020320	6.8	220
tt0020336	5.9	265
tt0020354	7.2	38
tt0020371	6.5	127
tt0020400	5.8	28
tt0020414	7.6	6061
tt0020430	4.6	20
tt0020444	6.9	54
tt0020458	6.2	446
tt0020473	4.2	8
tt0020488	5.9	777
tt0020502	6.2	233
tt0020523	7.2	452
tt0020542	5.2	281
tt0020563	6.3	594
tt0020584	6.2	21
tt0020600	6.3	18
tt0020619	7.0	39
tt0020637	6.8	11
tt0020649	5.8	97
tt0020666	6.3	258
tt0020679	6.0	438
tt0020690	5.7	309
tt0020701	6.1	567
tt0020715	6.2	72
tt0020732	6.1	17
tt0020748	7.4	89
tt0020765	6.0	18
tt0020781	6.2	65
tt0020800	6.6	29
tt0020814	7.0	315
tt0020827	6.7	3510
tt0020842	6.5	867
tt0020861	6.9	35
tt0020881	6.8	42
tt0020894	6.7	255
tt0020912	5.7	83
tt0020925	7.4	28
tt0020941	6.9	19
tt0020954	5.5	68
tt0020971	4.4	23
tt0020986	5.7	88
tt0021001	5.4	149
tt0021014	5.8	10
tt0021025	6.7	1564
tt0021040	6.7	1360
tt0021052	6.6	22
tt0021066	6.1	13
tt0021079	7.2	14234
tt0021094	5.1	192
tt0021113	4.7	38
tt0021131	5.3	42
tt0021146	6.1	391
tt0021160	5.1	30
tt0021181	6.0	369
tt0021196	6.9	93
tt0021208	7.4	20
tt0021223	6.2	890
tt0021239	5.1	310
tt0021262	6.2	344
tt0021279	6.0	134
tt0021294	5.6	649
tt0021307	5.6	201
tt0021324	4.9	289
tt0021341	6.8	10
tt0021355	6.7	44
tt0021369	6.0	137
tt0021381	6.3	690
tt0021395	6.2	31
tt0021409	7.1	2449
tt0021422	5.2	140
tt0021435	5.3	188
tt0021455	6.7	23
tt0021469	3.9	36
tt0021485	6.5	23
tt0021500	4.1	55
tt0021514	6.6	14
tt0021533	5.8	733
tt0021546	6.9	153
tt0021557	5.3	129
tt0021571	7.2	6282
tt0021584	7.5	35
tt0021597	5.9	99
tt0021611	6.8	80
tt0021629	6.1	13
tt0021641	5.8	47
tt0021654	6.6	771
tt0021664	7.3	1666
tt0021681	5.7	157
tt0021693	6.0	82
tt0021703	6.2	484
tt0021718	6.3	499
tt0021733	6.8	538
tt0021746	5.8	6772
tt0021759	6.3	429
tt0021772	5.5	222
tt0021789	5.3	46
tt0021802	6.9	226
tt0021818	7.2	2495
tt0021835	6.1	35
tt0021852	5.2	11
tt0021865	5.9	478
tt0021879	5.6	297
tt0021890	6.7	3342
tt0021906	6.4	831
tt0021919	6.1	205
